NAME,H2S_Heat,CO2_Heat,CH4_Heat
ABW-0,-19.14019317,-27.09457015,-14.85912704
ABW-1,-17.74923401,-22.07896487,-6.406619241
ACO-0,-18.97446419,-22.64127581,-17.98073571
AEI-0,-16.37312404,-19.81874219,-16.09599575
AEL-0,-18.06048861,-23.30195416,-19.64306918
AEN-0,-20.21150836,-28.43323482,-16.23021399
AET-0,-12.55462242,-14.77848063,-13.15768108
AET-1,-19.62244028,-17.7919044,-12.95840569
AFG-0,-19.38391816,-21.77931495,-19.60816909
AFG-1,-27.45992959,-24.54586844,-19.01257733
AFI-0,-13.2639241,-16.07882671,-14.32115257
AFN-0,-19.14415661,-25.01054376,-18.89428715
AFO-0,-17.96267936,-22.97802019,-19.32337568
AFR-0,-16.86086827,-17.41086809,-14.69588704
AFS-0,-15.67434068,-17.03808712,-14.30768966
AFT-0,-16.41436582,-20.59818024,-16.32598788
AFV,-17.74339344,-20.95719065,-18.05531625
AFX-0,-16.56856623,-21.02967692,-16.50198505
AFY-0,-21.26018989,-20.24161767,-14.5546777
AHT-0,-17.65329907,-27.3344467,-4.704979277
APC-0,-20.74582697,-26.23545689,-15.63680807
APD-0,-24.15511018,-28.53959733,-22.75637574
AST-0,-16.80040696,-20.03275393,-18.41204391
AST-1,-20.03816349,-24.28184644,-20.87944445
ASV-0,-22.31205352,-28.03330327,-20.85839101
ATN-0,-21.57047888,-27.82335596,-21.24419313
ATN-1,-48.63816674,-62.61366162,-34.12213829
ATO-0,-16.96170632,-21.02151041,-18.84314151
ATS-0,-15.78839546,-18.71333349,-14.55636297
ATS-1,-16.2777509,-18.7908647,-14.7969884
ATT-0,-21.45763332,-29.28446641,-20.94194586
ATV-0,-21.40952752,-25.20044922,-22.31249118
ATV-1,-21.58657451,-21.82823246,-19.49139413
AVE,-18.23505782,-21.51143083,-18.9536529
AVL,-19.0630933,-24.41430795,-18.98304355
AWO-0,-27.90701173,-29.13098043,-22.25761653
AWW-0,-18.39079563,-21.67001513,-18.64189903
BEA-0,-15.01707099,-17.25544113,-14.95602691
BEA-1,-15.25676096,-17.41749806,-15.00218731
BEA-B-1,-15.31694766,-17.37507675,-14.88425859
BEC-0,-14.64806853,-17.12034302,-15.02267668
BEC-2,-14.77219854,-17.58616026,-14.32958358
BIK-0,-21.1390147,-29.00180227,-15.98765623
BIK-1,-15.58282656,-24.29551869,-6.513752588
BOF-0,-20.40893446,-24.7210728,-20.44050883
BOG-0,-15.30894591,-17.97573912,-15.7476461
BOG-1,-17.06945865,-19.12493608,-15.81184911
BOZ-0,-14.1510175,-16.46169282,-14.46332101
BPH-0,-15.2852256,-17.68597393,-14.51578651
BRE-0,-21.53762581,-28.45240251,-21.67117216
BRE-1,-22.57077188,-27.98646765,-20.48353324
BSV-0,-19.48255578,-23.23930957,-21.40946495
CAN-0,-16.88857815,-19.21604135,-17.59802875
CAN-1,-19.9715933,-19.95284822,-18.39022281
CAS-0,-23.53822907,-24.79256693,-23.51294208
CDO-0,-19.3387405,-21.62552722,-21.0870388
CDO-1,-21.0188353,-22.91447466,-22.67604174
CFI-0,-13.13028173,-16.06229153,-13.92952188
CFI-1,-16.88741499,-19.21762203,-14.98161931
CGF-0,-22.27749374,-28.5467278,-22.42529579
CGS-0,-18.84716539,-22.53347546,-18.9181986
CHA-0,-16.47376432,-19.54736495,-16.29023663
CON-0,-15.74549614,-18.15980747,-15.53230834
CON-1,-80.77504106,-63.19075451,-14.32134941
CON-2,-15.86279467,-18.22071964,-16.14568322
CSV,-15.93056355,-18.46570379,-15.46922046
CZP-0,-21.24380613,-27.81542951,-19.77117525
DAC-0,-24.54986269,-24.56960862,-21.40883135
DDR-0,-22.43864534,-20.79112312,-23.84034044
DDR-1,-22.924743,-21.64301733,-24.96652567
DFO-0,-15.11670882,-17.67919578,-15.24085575
DFO-1,-18.88365764,-18.17435101,-14.3830162
DFT-0,-24.13876579,-29.00434281,-22.52303117
DOH-0,-23.10357437,-23.39467295,-25.63895083
DOH-1,-25.23676144,-22.77240194,-27.76841143
DON-0,-12.24687808,-14.45413158,-13.10247397
DON-1,-12.26520611,-14.47148122,-13.07512796
EAB-0,-18.75961671,-23.88842759,-19.0270454
EAB-1,-19.75271547,-25.11037051,-17.90632155
EAB-2,-22.17197213,-24.09868899,-18.95826826
EDI-0,-19.30636026,-21.30092628,-21.11499022
EDI-1,-20.63987011,-24.23927344,-19.82814247
EDI-2,-18.65632668,-20.46516643,-18.92737469
EEI,-16.98169046,-20.27419271,-18.08371775
EMT-0,-18.58470091,-17.5179567,-21.85922996
EMT-1,-18.17865462,-17.115585,-20.62295451
EMT-2,-18.08195334,-16.8462947,-20.76203276
EON-0,-22.21627915,-22.24909947,-20.45756817
EON-1,-28.54503002,-31.42462235,-19.97215284
EPI-0,-22.98811452,-26.22991344,-21.02436993
EPI-1,-26.72362177,-27.60935753,-21.31645844
ERI-0,-17.04044188,-19.56116955,-17.28980465
ERI-1,-19.0639126,-20.38120191,-16.76281856
ESV-0,-20.02146099,-23.89244794,-20.73829075
ESV-1,-19.55340277,-23.60870323,-20.11878831
ETL,-19.5140096,-22.64429776,-19.75278592
ETR-0,-17.54069088,-20.05887707,-18.34599246
ETR-1,-17.88823412,-18.39524237,-16.88222039
EUO-0,-17.01113098,-20.43464264,-17.23640665
EUO-1,-19.12580501,-22.97574067,-19.02796979
EWS,-17.29663032,-20.73866271,-18.25985891
EZT-0,-16.75564299,-19.86416267,-17.37505988
FAR-0,-20.59614831,-24.02316927,-22.07016585
FAR-1,-20.48427189,-23.57520734,-20.26635454
FAU-0,-18.4619836,-17.45482368,-21.76990419
FAU-1,-17.14964255,-17.07445847,-19.9398878
FAU-2,-18.79327923,-18.34656599,-22.05989082
FAU-3,-17.362342,-18.28536854,-19.29886834
FAU-4,-18.68026953,-17.87159108,-22.07441031
FAU-5,-16.60122567,-17.42181699,-18.93710598
FAU-6,-16.61875239,-16.12942003,-17.55499214
FER-0,-19.25450541,-22.93641489,-20.51885349
FER-1,-19.58897806,-24.39002363,-20.75641765
FER-2,-21.59945023,-25.50561234,-21.93619933
FRA-0,-18.57216306,-22.24720245,-20.32748803
FRA-1,-21.71802112,-25.20566403,-20.47374989
GIS-0,-20.00850496,-29.62857174,-19.52875029
GIS-1,-24.5667049,-29.39894716,-17.73854652
GIS-2,-28.09414966,-38.33648771,-19.34186661
GIS-4,-22.31836097,-30.75716983,-18.73685963
GIS-5,-24.5406329,-29.74898516,-18.25888553
GIS-6,-24.0080803,-34.47475162,-18.90549199
GIU-0,-19.8141043,-22.97455427,-21.52839048
GIU-1,-20.00561521,-23.18362176,-19.74321671
GME-0,-16.36717595,-22.87237881,-16.89975822
GME-1,-20.72811523,-20.67761763,-16.13163134
GON-0,-15.98082042,-19.48621514,-17.62774328
GON-1,-19.11501044,-20.92110817,-17.73588628
GOO-0,-21.10516729,-26.72759627,-19.65427655
GOO-1,-19.63060126,-25.65131981,-16.89538506
HEU-0,-20.37364177,-26.87543358,-20.45381363
HEU-1,-21.22692178,-29.4807543,-19.70485315
HEU-2,-21.49168853,-28.68746619,-20.01846417
IFO-0,-12.83715416,-15.3415187,-13.27744793
IFR-0,-16.01420708,-19.06812246,-16.75475224
IFR-1,-17.66621679,-19.97116556,-16.78537304
IFW,-16.06145379,-17.68342069,-14.930198
IFY,-19.99760134,-23.77205667,-18.37945398
IHW-0,-17.83475696,-21.84816618,-18.23304036
IHW-1,-19.17384345,-23.38194786,-18.56995965
IMF-0,-18.24987811,-21.75685761,-18.42407883
IMF-1,-19.19864552,-22.57668137,-18.72460628
IRN,-17.50795972,-22.60090585,-17.27093272
IRR-0,-13.03034383,-13.5052686,-11.84998677
IRR-1,-14.95690603,-13.64744485,-10.86887784
ISV-0,-14.50708887,-17.02277643,-14.55050233
ISV-1,-14.86274592,-17.81104879,-14.87805433
ITE-0,-16.33564852,-18.9077323,-16.1159382
ITE-1,-19.12123399,-21.4998081,-16.74352351
ITG,-16.3694098,-19.13599452,-16.2909539
ITH-0,-18.18000555,-21.36595441,-17.95997847
ITH-1,-22.80603059,-24.35832958,-18.83498391
ITR-0,-18.12171818,-21.33053442,-17.81486794
ITR-1,-20.86244237,-23.90229767,-18.21688255
ITT-0,-17.14505585,-16.72627249,-15.22846998
ITW-0,-20.11380702,-26.01423379,-19.06366185
ITW-1,-22.04979354,-28.16888893,-18.44669408
IWR-0,-15.49527902,-18.06270503,-15.62133101
IWR-1,-22.11231081,-28.24309281,-15.559772
IWS-0,-14.40089115,-16.2926593,-13.96816898
IWS-1,-14.05084711,-15.72394698,-13.27186097
IWV-0,-15.00305063,-15.87406609,-13.25958002
IWV-1,-18.57613862,-19.51535788,-13.5573127
IWW-0,-16.39291968,-19.36206803,-16.56392451
IWW-1,-17.91417437,-20.68554674,-16.11859605
JBW-0,-23.39804404,-32.14707384,-17.67178579
JNT,-24.15977783,-28.1070363,-22.26337376
JOZ-0,-19.90736648,-23.97321103,-19.46503941
JRY-0,-20.83700607,-27.63953629,-19.92881267
JSN-0,-21.10203059,-25.93464854,-21.42994955
JSR-0,-13.64447833,-15.70748872,-13.06312781
JST-0,-17.81332573,-22.07714355,-17.19303922
JSW-0,-20.39136048,-26.62579909,-20.51264102
KFI-0,-17.37269778,-23.49653544,-15.95411373
KFI-1,-18.52809559,-25.57047504,-15.76639178
LAU-0,-18.66877658,-22.47819134,-19.72267408
LAU-1,-18.8857356,-21.8754861,-18.52762739
LAU-2,-19.00716683,-22.17781677,-19.43434505
LEV-0,-17.39205559,-21.01259975,-18.31267404
LEV-1,-17.11966976,-20.87160777,-17.32518911
LEV-2,-17.60262256,-21.15996176,-18.35670303
LIO-0,-22.62446884,-25.59651878,-21.68080454
LIO-1,-21.43516317,-25.47679204,-18.84337098
LOS-0,-19.03696328,-23.07813548,-20.29872736
LOS-1,-20.86784288,-23.6929837,-18.94934776
LOV-0,-23.62589037,-23.64697787,-22.56426679
LTA-0,-17.99068248,-19.50965525,-20.67490033
LTA-1,-16.2587326,-18.48503054,-17.63664835
LTA-2,-16.45147349,-18.55667168,-17.9483081
LTF-0,-19.82124529,-22.90397763,-20.41432062
LTF-1,-20.59984592,-24.78039021,-19.45187227
LTJ-0,-19.36218116,-11.15013069,-16.56495357
LTJ-1,-15.87611742,-17.63115232,-11.1857549
LTL-0,-17.8410592,-20.23248631,-14.6089313
LTL-1,-20.14086346,-19.16049899,-14.14492693
LTL-2,-24.95737625,-24.37059727,-14.29474884
LTN-0,-20.66408244,-23.77344936,-22.29533982
LTN-1,-18.78585045,-22.83605148,-19.40714453
Mar-00,-21.95359212,-24.79580142,-22.43606867
MAZ-0,-19.60190153,-22.52915131,-20.48683049
MAZ-1,-19.42750469,-21.61194933,-19.12794999
MEI-0,-17.18873493,-17.28375079,-15.12214327
MEI-1,-17.71296944,-17.67628571,-14.69640976
MEL-0,-17.79170777,-20.7795218,-18.12868081
MEL-1,-28.81823546,-27.48468678,-19.18834846
MEL-2,-19.70737912,-22.89394559,-18.94651973
MEP-0,-22.93958538,-29.1400033,-24.96000661
MEP-1,-22.71115218,-45.42432049,-26.45866411
MER-0,-24.0930422,-24.82800657,-19.17788874
MER-1,-24.78011473,-25.68982496,-17.45112487
MER-2,-28.6841922,-35.65670508,-18.63489633
MFI-0,-19.12944148,-22.72461973,-19.0753003
MFI-1,-20.96692271,-24.28381105,-19.5670282
MFI-2,-19.96053433,-23.42274178,-19.20078419
MFS-0,-18.96232085,-21.07534499,-17.65719737
MFS-1,-20.21913976,-22.39798002,-18.48407506
MON-0,-20.08005801,-29.75409738,-15.6937683
MON-1,-17.98397512,-28.19108337,-12.3386961
MOR-0,-24.35656559,-19.7255665,-20.55056929
MOR-1,-29.77654842,-27.41933263,-20.60529915
MOZ-0,-18.76503456,-23.32276878,-17.67158039
MOZ-1,-27.95316166,-25.96424088,-17.04859952
MRE-0,-18.36199113,-22.34091466,-19.66660043
MRE-1,-19.38776187,-23.47595886,-20.49166807
MRT,-21.75864317,-25.65631106,-19.94971539
MSE-0,-15.71687495,-18.66517587,-15.87851937
MSE-1,-15.67835879,-18.77219292,-15.955342
MSO-0,-16.9946234,-20.49492142,-17.41404554
MTF-0,-19.76370626,-24.05082583,-20.14630731
MTF-1,-21.09203756,-25.60318201,-20.69131388
MTN-0,-22.45538137,-23.18507535,-25.3140154
MTN-1,-24.58293054,-24.94737799,-27.49516627
MTT-0,-18.06495897,-23.08450037,-18.45659471
MTT-1,-19.32029679,-24.56677556,-20.43185576
MTW-0,-17.26123623,-22.30134093,-16.9297432
MTW-1,-16.834307,-20.26636795,-17.97142801
MWF,-22.6235315,-26.21769056,-18.67724741
MWW-0,-18.44333415,-21.30271061,-17.5929333
MWW-1,-20.97123532,-24.10113478,-18.69028909
NAB-0,-19.12872654,-20.34128733,-14.02750825
NAT-0,-18.38651298,-24.49755856,-17.98581488
NES-0,-16.37961778,-19.49582763,-15.93663806
NES-1,-17.19805206,-21.2175548,-17.03670054
NON-0,-17.40624488,-21.49301084,-18.6581242
NON-1,-20.28832404,-24.37228874,-20.57949739
NPO-0,-13.65311823,-22.93933852,-10.96262756
NPT-0,-15.56964552,-19.28837986,-16.32211822
NSI-0,-20.24161903,-26.27688163,-13.6030928
OBW-0,-14.46832957,-16.75062313,-15.41790763
OFF-0,-19.01098279,-22.98834422,-19.15087055
OFF-1,-18.93975929,-22.33932816,-18.22299786
OFF-2,-19.08281151,-21.28721318,-18.00483181
OKO-0,-16.56731822,-20.14183534,-16.86142721
OSI-0,-14.8940972,-18.61457568,-15.86124042
OSO-0,-14.41609306,-17.40543416,-14.19217056
OSO-1,-15.24298904,-18.09596896,-14.21887953
OWE-0,-21.04728512,-24.93559129,-20.39029204
PAU-0,-22.27491908,-24.90922118,-18.241701
PAU-1,-22.50078772,-26.23748141,-17.68913961
PCR-0,-20.6880719,-25.36352792,-21.50652783
PCR-1,-20.79958223,-24.4473738,-21.50484504
PHI-0,-22.14267011,-26.29746125,-19.2976236
PHI-1,-30.16086262,-25.33216295,-18.83023955
PHI-2,-21.06197665,-28.17674434,-18.87287434
PON-0,-19.95669411,-24.28103735,-20.11655124
POR,-21.53604498,-25.55822739,-20.45923594
POS,-15.67323239,-17.99899337,-16.17027288
PSI,-18.38187865,-22.90017922,-20.14268257
PUN-0,-16.77906877,-20.80277115,-17.2487801
PWO,-18.75456491,-23.35072921,-18.46111992
PWW,-19.07453142,-24.25106902,-18.69163085
RHO-0,-24.2247606,-21.4800959,-17.24677488
RHO-1,-20.4529281,-20.18703157,-13.59092053
RRO-0,-20.04799217,-27.57231515,-15.92301877
RRO-1,-21.29960163,-26.69066452,-17.42538489
RSN-0,-22.6371811,-23.33575913,-21.99822976
RTE-0,-18.56094064,-22.47514548,-18.69518335
RTE-1,-18.8012428,-22.69680333,-19.09764854
RTH-0,-16.29000642,-19.40938007,-16.28708858
RTH-1,-17.79605963,-21.19272145,-16.97401214
RUT-0,-20.38294821,-25.80546457,-21.6213671
RUT-1,-21.36239356,-26.12276388,-22.83385384
RWR-0,-22.22560503,-25.87830024,-19.64572708
RWR-1,-23.87523661,-22.28884578,-17.08025151
RWY-0,-10.05567932,-11.15031761,-9.508444206
SAF-0,-14.93549867,-17.82823685,-15.78546006
SAO-0,-13.08558504,-15.24682248,-13.21024601
SAS-0,-15.09499036,-17.91480962,-15.18959942
SAT-0,-17.64313012,-19.53288689,-17.70749863
SAV-0,-16.67192897,-21.3990758,-15.57674062
SBE-0,-17.33958422,-18.6573024,-16.51836491
SBN-0,-19.82200756,-21.6492099,-20.73446461
SBS-0,-12.44034652,-14.1629628,-12.41414697
SBT-0,-12.26015703,-14.14681013,-12.40845528
SEW-0,-19.93810344,-21.13416263,-17.38976657
SEW-1,-27.9528884,-24.31817228,-17.84935072
SFE-0,-15.64308907,-18.86798698,-14.95163954
SFE-1,-16.27125722,-19.76433201,-16.56064523
SFF-0,-16.80391753,-19.65804859,-16.74374589
SFF-1,-17.52399852,-20.0718665,-16.6706042
SFG-0,-16.81469935,-20.31289912,-17.12896894
SFG-1,-18.01452377,-21.96947467,-18.11610596
SFH-0,-14.06778756,-16.98120788,-13.44545769
SFH-1,-14.06052194,-16.92888471,-14.52713533
SFN-0,-13.91982021,-16.87186683,-13.51204655
SFN-1,-13.88941091,-16.80524303,-14.36173655
SFO-0,-16.56833269,-17.36133505,-14.67188998
SFS-0,-18.0327792,-20.95777054,-16.99712285
SFS-1,-21.47501937,-21.76451946,-18.10937649
SFW-0,-16.34399987,-21.4138274,-16.41801362
SFW-1,-16.61105887,-21.00466427,-16.07890988
SGT-0,-17.08872677,-20.52651526,-18.63112742
SGT-1,-17.4956149,-21.01637574,-19.0114472
SIV-0,-21.63120324,-28.43936879,-19.40709132
SOD-0,-20.50733513,-24.63980817,-22.39567969
SOD-1,-21.9378381,-24.73623283,-23.34506281
SOD-2,-22.55303211,-25.42531057,-23.29706727
SOF-0,-21.47989365,-23.38177698,-18.37391454
SOR,-15.35352908,-19.38329862,-15.68100271
SOS-0,-16.413628,-20.61206033,-16.51413972
SOV,-15.251508,-17.66093324,-15.64062605
SSF-0,-13.73954258,-16.31728516,-14.28149299
SSF-1,-14.89508017,-17.69354075,-15.47987872
SSY-0,-15.48760589,-18.81896151,-14.83044783
SSY-1,-16.71481183,-19.78695493,-16.41891979
STF-0,-16.95581717,-19.62076857,-16.47261856
STF-1,-16.9920649,-19.80262324,-16.64415196
STI-0,-17.5885003,-22.10443668,-17.9998159
STI-1,-17.65451964,-22.14941876,-17.57899011
STI-2,-17.80336545,-22.09408285,-17.5424479
STI-3,-17.64445824,-22.27323285,-17.53079861
STO-0,-15.00366624,-18.13377199,-16.37662596
STO-1,-15.02040784,-18.12009765,-16.38887515
STT-0,-17.58821959,-20.99223016,-17.46082974
STT-1,-19.53016744,-22.61400909,-17.68664766
STW-0,-21.3147092,-24.2497267,-18.38431539
SVV-0,-20.07299426,-24.88089007,-21.32095998
SWY,-18.29198413,-21.65194001,-18.3384199
SZR-0,-18.36978206,-22.37534954,-18.71725511
SZR-1,-18.34194621,-22.31724383,-18.72026311
TER-0,-18.83725512,-21.74462227,-18.17284173
TER-1,-20.47881912,-23.3487695,-18.18039941
THO-0,-18.71332109,-21.88859412,-19.84544406
THO-1,-22.40554704,-23.00550861,-19.83642972
TOL-0,-22.20298798,-24.95001603,-21.60087636
TOL-1,-22.84561128,-24.58793541,-19.29870686
TON-0,-18.39431579,-23.07074921,-18.77566616
TON-1,-19.15442041,-24.40075805,-20.56681413
TSC-0,-17.78476962,-16.48195949,-20.38971524
TSC-1,-15.85561368,-19.49640723,-15.96097461
TUN-0,-17.98971623,-21.7622823,-18.22045509
TUN-1,-19.14054557,-22.61158783,-18.3219469
UEI-0,-28.05037249,-26.66402716,-20.8922647
UFI-0,-22.07172534,-25.80909191,-21.24052362
UFI-1,-39.92944233,-33.00060347,-21.20106427
UOS-0,-18.31629476,-22.35090423,-19.27110307
UOV,-16.05092387,-18.58953283,-16.00356503
UOZ-0,-23.07772083,-27.97892967,-22.539551
USI-0,-15.76998191,-20.46809943,-15.41578008
UTL-0,-15.01708668,-17.34753529,-14.47379428
UWY-0,-18.06278297,-20.12984036,-17.80952889
VET-0,-15.44669118,-18.97572492,-16.98974284
VET-1,-16.01881057,-19.8479092,-17.23602498
VFI-0,-10.62285409,-12.32242875,-10.37165699
VNI-0,-19.77326704,-21.51570376,-19.89049823
VSV-0,-17.46517901,-22.73635599,-15.76632517
WEI-0,-20.68014232,-24.73427546,-13.44970418
YFI,-23.94111676,-22.27417407,-18.41625431
YUG-0,-20.72511545,-25.21921055,-18.87846269
ZON-0,-21.12648688,-25.65393328,-21.76695815
