NAME,H2S_Heat,CO2_Heat,CH4_Heat,LCD,PLD,LFPD,Density,AVSA,AGSA,VF,PV,H2S_CH4
ACO_0,-17.22330465,-19.95233977,-17.92203992,3.91932,3.15925,3.91898,1.64272,0,0,0.458,0.278805,0.915633256
AEI_0,-14.34665459,-17.40810783,-16.09905535,6.90319,3.44131,6.90319,1.50157,1307.46,870.728,0.5006,0.333385,0.681900094
AEI_1,-17.9453626,-22.29452534,-19.96663865,7.07458,3.42592,7.07458,1.49921,1387.85,925.72,0.5356,0.357255,0.765349778
AEL_0,-17.50712665,-21.86690773,-19.6714208,5.22554,4.07159,5.22554,1.91427,624.624,326.299,0.3574,0.186703,0.534513159
AEL_1,-22.50829085,-28.20933105,-25.15521866,5.016,3.90771,5.016,1.93447,677.95,350.457,0.442,0.228486,0.473517081
AEL_2,-22.60218258,-28.38750264,-25.32505527,5.23651,4.10294,5.23651,1.90289,647.893,340.478,0.448,0.235431,0.4506292
AET_0,-11.76355161,-13.96163363,-13.1413847,7.76765,7.17001,7.76765,1.81715,763.156,419.974,0.406,0.223427,0.712257514
AET_1,-11.61546713,-13.86731794,-12.93805874,7.54739,6.82582,7.54125,1.74998,802.247,458.433,0.4252,0.242975,0.715164265
AFI_0,-12.79019209,-15.40756925,-14.32604972,7.56946,7.01861,7.56946,1.68556,891.053,528.638,0.4524,0.268397,0.689879836
AFI_1,-16.75891466,-20.71745259,-18.6890223,7.71001,6.92943,7.71001,1.75399,886.797,505.589,0.483,0.275372,0.777778639
AFN_0,-16.89497318,-21.20471077,-18.89770326,4.75303,3.08413,4.75303,1.73559,0,0,0.429,0.247178,0.598011853
AFO_0,-17.11885304,-21.09993292,-19.32864684,5.02827,4.33443,5.02827,1.91635,664.775,346.897,0.3654,0.190675,0.507010043
AFO_1,-22.35945113,-27.99181493,-25.06707094,5.08958,4.05259,5.05529,1.93104,591.52,306.322,0.4076,0.211078,0.461797188
AFR_0,-13.33510106,-15.40118833,-14.70144567,7.81561,6.57251,7.81561,1.51326,1234.45,815.752,0.5022,0.331866,0.702049413
AFR_1,-18.5395272,-20.49136899,-19.20554892,7.78626,6.29102,7.63478,1.51376,1343.83,887.749,0.525,0.34682,0.717498062
AFS_0,-12.8158862,-14.99242884,-14.32876371,9.11169,5.61223,9.11169,1.7103,1406.5,822.37,0.5274,0.308368,0.665297523
AFS_1,-15.83099088,-18.82447128,-17.49200945,9.36274,5.53478,9.36274,1.39201,1519.81,1091.81,0.5726,0.411349,0.666215974
AFT_0,-14.54719289,-17.41252874,-16.30461707,7.13987,3.28045,6.80663,1.63607,0,0,0.4982,0.304511,0.63715286
AFT_1,-18.4264233,-22.37215181,-20.46895403,7.0829,3.3145,7.08271,1.50804,1240.89,822.849,0.536,0.355428,0.748695696
AFV,-15.92359661,-19.54860535,-18.0424526,6.4479,3.06438,6.43556,1.57008,0,0,0.4896,0.31183,0.535760411
AFX_0,-14.70299114,-17.45616512,-16.46110123,7.11659,3.33392,6.7371,1.60162,1151.19,718.762,0.5134,0.32055,0.638333013
AFX_1,-18.65515979,-22.37653469,-20.67596097,7.23746,3.10458,7.23746,1.48543,0,0,0.5428,0.365415,0.654981147
AFY_0,-13.42209656,-15.88635247,-14.56901458,7.42157,5.50247,7.42157,1.83258,1692.48,923.552,0.5454,0.297614,0.708941796
AHT_1,-22.36861458,-27.64893822,-24.92728034,3.91619,2.98644,3.72504,1.86452,0,0,0.4168,0.223542,0.469380257
APC_1,-22.04042962,-30.47656221,-22.07154521,3.68475,2.95815,3.63231,1.76315,0,0,0.4508,0.255678,1.189370571
APC_2,-20.13114031,-27.08205288,-19.11330923,3.70781,3.08218,3.70781,1.82142,0,0,0.45,0.247059,1.744234433
APD_0,-20.63832593,-21.99929418,-22.73031415,4.21666,3.22754,4.21268,1.79457,0,0,0.4016,0.223786,0.558028631
ASV_0,-18.3813048,-22.44731547,-20.86047313,4.94907,4.0279,4.94907,1.90542,637.193,334.411,0.3664,0.192293,0.490895213
ATN_0,-18.66267833,-22.12311248,-21.2115613,5.51283,3.70725,5.51283,1.77769,613.767,345.262,0.4024,0.226362,0.420761738
ATN_1,-28.57163367,-35.06159291,-32.24647488,5.51228,3.69006,5.51228,2.59578,631.208,243.167,0.3508,0.135143,0.243942227
ATO_0,-16.59401631,-20.30522166,-18.86469137,5.33713,5.08989,5.33713,2.6219,609.485,232.459,0.3768,0.143713,0.510911089
ATO_1,-21.73304314,-27.19618784,-24.55730128,5.3751,5.12587,5.3751,1.92269,630.856,328.111,0.4192,0.218028,0.445113142
ATS_0,-13.00928414,-15.57496727,-14.56403496,6.58439,6.37122,6.58439,1.6031,1035.35,645.838,0.4596,0.286694,0.622254697
ATS_1,-13.19450397,-15.85707457,-14.80594462,6.53185,6.21082,6.53185,1.63532,1010.35,617.828,0.4468,0.273219,0.614681593
ATT_0,-18.49007253,-22.08194342,-20.94965907,4.90334,3.39122,4.90334,1.7041,729.347,427.996,0.4382,0.257145,0.492785128
ATT_1,-22.59350487,-28.35485834,-25.34869905,4.99847,3.47947,4.67938,1.68897,850.235,503.404,0.4784,0.283249,0.582410588
ATV_0,-20.51280022,-20.92243127,-22.31058397,3.9155,3.04175,3.9155,1.88693,0,0,0.3684,0.195237,0.615434309
AVE,-16.72738822,-20.29339083,-18.93797992,6.13015,2.85759,6.11325,1.64993,0,0,0.462,0.280013,0.496675616
AVL,-16.69444744,-20.10330896,-18.96805487,6.57868,3.15024,6.55369,1.57937,0,0,0.4832,0.305945,0.514177057
AWO_0,-19.97562992,-21.08438428,-22.27365669,4.49867,3.26529,4.49867,1.81898,0,0,0.4064,0.223421,0.538210992
AWO_1,-26.42845912,-32.23612442,-29.23509188,4.58177,2.88833,4.58177,1.93364,0,0,0.4232,0.218862,0.394592101
AWW_0,-16.51565839,-20.30337134,-18.65125469,6.89355,3.76609,6.89355,1.68896,905.397,536.069,0.4382,0.25945,0.622825506
BEA_0,-13.28713204,-16.22252036,-15.01614324,6.11948,5.63572,6.11785,1.52818,1474.88,965.121,0.4912,0.321428,0.609929691
BEA_1,-13.17120629,-16.04496527,-14.88612585,6.12348,5.71304,6.10762,1.50841,1479.81,981.038,0.4922,0.326303,0.605765897
BEA_B_1,-13.2378263,-16.17147552,-14.95581581,6.09102,5.77541,6.07339,1.53082,1450.45,947.498,0.5056,0.33028,0.609623034
BEC_0,-13.24634616,-16.29850109,-15.03078152,6.23638,5.90749,6.23638,1.5087,1472.43,975.962,0.5056,0.335124,0.616253557
BEC_2,-12.68056226,-15.49106138,-14.32165231,6.36482,5.90302,6.36482,1.45499,1455.24,1000.17,0.5066,0.348181,0.621537774
BOF_0,-18.09553651,-21.99180762,-20.45809245,5.16497,4.18317,5.15523,1.82297,846.362,464.275,0.4046,0.221945,0.492343515
BOG_0,-14.02723452,-16.66802443,-15.79566605,7.49162,6.47542,7.47411,1.60199,1275.73,796.344,0.475,0.296507,0.620997076
BOG_1,-13.99124172,-16.48125132,-15.81494912,7.83993,6.63915,7.83993,1.55407,1276.9,821.644,0.4854,0.31234,0.636163374
BOZ_0,-12.89040667,-14.73373157,-14.44897064,8.30506,4.5183,8.30506,1.29062,1562.12,1210.36,0.5696,0.441339,0.660112736
BPH_0,-12.92505605,-15.25212416,-14.54908485,9.10839,5.61418,9.10839,1.70931,1400.67,819.439,0.5328,0.311706,0.63906036
BRE_1,-18.09932136,-21.68547708,-20.49362042,5.01986,2.72135,5.01986,1.72894,0,0,0.4188,0.24223,0.454123945
BSV_0,-18.95506185,-22.89336936,-21.38860108,4.76811,3.43565,4.76769,1.86535,661.638,354.699,0.3968,0.212721,0.524591195
CAN_0,-15.81872321,-19.15182425,-17.62466714,5.76422,5.43027,5.76422,1.91007,656.829,343.877,0.4406,0.230673,0.651425426
CAN_1,-15.56052667,-18.90638033,-17.47902076,5.55816,5.36224,5.55806,1.67747,578.151,344.657,0.4254,0.253597,0.638687012
CDO_0,-18.57485448,-22.47956396,-21.07359925,4.98695,3.04005,4.98695,1.80129,0,0,0.397,0.220398,0.415471121
CDO_1,-19.99215028,-24.0327649,-22.67348219,4.84207,2.87427,4.84207,1.9114,0,0,0.3798,0.198702,0.418820086
CFI_0,-12.48806698,-14.92939558,-13.94026702,7.07089,6.86062,7.07089,1.67303,858.442,513.106,0.4558,0.27244,0.688576705
CFI_1,-13.36803104,-16.19165903,-14.99242846,6.77229,6.53052,6.77229,1.82103,802.873,440.89,0.4232,0.232396,0.700112561
CGF_0,-19.79169772,-23.77743494,-22.4302133,5.35689,2.62714,5.0383,1.89557,0,0,0.3732,0.19688,0.433528168
CGS_0,-16.71075639,-20.47324662,-18.92144724,5.31725,3.60812,5.30302,1.68549,914.17,542.377,0.4466,0.264968,0.492542424
CHA_0,-14.4926281,-17.61760999,-16.30245542,6.74111,3.31915,6.73911,1.90179,1343.92,706.662,0.5088,0.267538,0.633300873
CLO_0,-13.61676273,-16.98032813,-15.71030363,15.32075,5.91098,15.32075,1.12876,1888.24,1672.85,0.6194,0.548746,0.673708191
CON_0,-13.8072348,-16.7016311,-15.5388635,6.76517,5.19932,6.66264,1.56665,1375.98,878.292,0.4804,0.306642,0.624659919
CON_1,-12.72691066,-15.34984176,-14.33851617,6.674,5.21396,6.66274,1.512,1364.79,902.639,0.4772,0.315608,0.629319495
CON_2,-14.32384733,-17.32290734,-16.15840173,6.69693,5.47825,6.69366,1.62113,1360.51,839.233,0.479,0.295472,0.597140537
CSV,-13.82057585,-16.58385494,-15.48490789,7.1282,4.90957,7.1282,1.62019,1247.36,769.884,0.4582,0.282807,0.656288984
CZP_0,-19.25851984,-23.84644033,-19.77526943,3.75947,3.2385,3.74521,2.12581,0,0,0.322,0.151472,1.285463186
DAC_0,-18.96827477,-20.99608276,-21.42921966,4.79198,3.42236,4.78242,1.74128,643.089,369.319,0.4224,0.24258,0.518090654
DDR_0,-21.80530169,-19.56237334,-23.66607598,7.07203,3.24572,7.07203,2.19256,0,0,0.419,0.191101,0.566223556
DDR_1,-22.46974432,-19.84351408,-24.96781415,7.10324,3.31393,7.10324,1.75997,707.873,402.209,0.4368,0.248187,0.520042996
DFO_0,-13.43988905,-16.24889807,-15.26601649,10.8902,6.78508,10.8902,1.59351,1392.34,873.756,0.5138,0.322433,0.649077544
DFO_1,-12.69981569,-15.3654932,-14.39639199,11.41714,6.9712,11.41714,1.40326,1411.01,1005.52,0.5314,0.37869,0.64088815
DFT_0,-20.3801448,-20.62326251,-22.50393551,4.1931,3.24838,4.1931,1.76723,0,0,0.4248,0.240376,0.556097154
DON_0,-11.71975377,-13.93078957,-13.10015677,8.17675,7.67107,8.17675,1.70828,874.704,512.039,0.442,0.25874,0.699890736
DON_1,-11.70460307,-13.92895921,-13.08251767,8.25079,7.5977,8.25079,1.71757,880.234,512.487,0.4318,0.251401,0.704958239
EAB_0,-16.75195173,-20.21628329,-19.03598607,6.62727,3.14057,6.37369,1.59164,0,0,0.4756,0.298811,0.503120067
EAB_1,-14.80843186,-17.92809737,-16.79263338,6.50125,2.61534,6.49845,1.46081,0,0,0.5032,0.344466,0.496627216
EAB_2,-16.58823034,-20.0778614,-18.94179388,6.60388,3.33443,6.59029,1.54616,1010.96,653.855,0.466,0.301392,0.514885099
EDI_0,-18.62658096,-21.74482931,-21.07329595,4.88186,3.03748,4.88186,1.62239,0,0,0.4726,0.291299,0.433071259
EDI_2,-14.92984821,-17.88678196,-16.7779598,5.34907,3.32475,5.34384,1.44986,969.327,668.565,0.52,0.358655,0.477682656
EMT_0,-18.16401397,-16.79401126,-21.90524744,11.00067,6.96665,10.97548,1.41741,1375.1,970.149,0.564,0.397909,0.631312588
EMT_1,-17.17398415,-15.53762456,-20.70047566,11.17235,6.96748,11.16458,1.29172,1350.74,1045.69,0.5654,0.437712,0.634612913
EMT_2,-17.30690421,-16.22387527,-20.75906287,11.09877,7.11366,11.09877,1.29074,1356.31,1050.8,0.564,0.436959,0.619508382
EON_0,-17.88487253,-20.62571641,-20.45410086,7.26853,6.38739,7.26837,1.68012,586.074,348.828,0.4524,0.269266,0.533970655
EON_1,-17.54391679,-20.6369911,-20.02062397,7.03308,6.3556,6.65515,1.68899,574.433,340.104,0.4424,0.261931,0.5609735
EPI_0,-18.54289056,-22.09963706,-20.99999999,4.92572,3.22497,4.92572,1.76437,0,0,0.4126,0.233851,0.490311503
EPI_1,-18.78694438,-21.17613911,-21.29022979,5.02268,3.22668,5.0196,1.76064,0,0,0.4098,0.232756,0.463348474
ERI_0,-15.29275636,-18.6000395,-17.29258365,6.30639,3.02119,6.30639,1.67503,0,0,0.4782,0.285488,0.543008025
ERI_1,-14.83550153,-18.06007842,-16.76808491,6.45751,3.2391,6.45327,1.56495,0,0,0.4818,0.307869,0.565391677
ERI_2,-20.10753393,-24.95458324,-22.60252055,6.55675,2.92497,6.55675,1.69738,0,0,0.4958,0.292098,0.518974052
ESV_0,-18.29641036,-22.24067392,-20.75136219,5.67049,3.26077,5.65038,1.77093,0,0,0.4172,0.235583,0.525009115
ESV_1,-17.77234793,-21.54432395,-20.12591589,5.96979,3.18264,5.95992,1.72233,0,0,0.4398,0.255352,0.561942206
ETL,-17.41011636,-21.47613035,-19.76281812,5.77103,2.9903,5.71194,1.80069,0,0,0.3866,0.214696,0.503731415
ETR_0,-15.88371295,-19.89737141,-18.3936841,9.61116,8.92233,9.61116,1.59276,779.68,489.516,0.502,0.315176,0.633062014
ETR_1,-14.61769814,-18.20178705,-16.8952437,9.65447,9.30299,9.65447,1.46585,750.397,511.918,0.5048,0.344372,0.61323145
EUO_0,-15.25651873,-18.57973897,-17.23373064,6.26105,4.54296,5.92812,1.70843,936.73,548.299,0.4336,0.2538,0.601497403
EUO_1,-16.73873584,-20.4194934,-19.02080219,6.04467,3.96085,5.62027,1.81124,865.842,478.04,0.4148,0.229015,0.552961992
EWS,-16.09798558,-19.72153799,-18.26263523,5.69128,3.44896,5.68852,1.72649,1124.7,651.434,0.4298,0.248944,0.56494912
EZT_0,-15.33186643,-18.46398809,-17.37275937,5.90376,5.61065,5.90376,1.71603,1022,595.556,0.433,0.252326,0.554094238
EZT_1,-19.20501977,-23.59252614,-21.57770151,6.19861,5.47776,6.19861,1.69737,1075.53,633.647,0.483,0.284558,0.515084429
FAU_0,-18.15922728,-16.65995482,-21.80246552,10.6957,6.95049,10.6957,1.32764,1369.68,1031.67,0.5762,0.434004,0.641183027
FAU_1,-16.58586342,-16.1707272,-20.0582344,10.90711,7.03981,10.90711,1.26506,1365.49,1079.39,0.5826,0.460533,0.641183027
FAU_2,-18.36392426,-17.94770525,-22.15225226,10.5396,6.70215,10.5396,1.35366,1362.06,1006.2,0.5728,0.423149,0.641183027
FAU_3,-14.50382898,-15.69701953,-17.51679997,11.10678,7.03729,11.10678,1.21066,1376.64,1137.1,0.595,0.491467,0.641183027
FAU_4,-18.30599789,-17.49501194,-22.08302256,10.60884,6.82418,10.60884,1.34204,1360.69,1013.9,0.5762,0.429346,0.641183027
FAU_5,-14.30880718,-15.26712552,-17.23450329,11.09581,7.05871,11.08364,1.20042,1377.69,1147.68,0.5992,0.499161,0.64285613
FAU_6,-13.17982825,-12.9626216,-15.78678806,11.5185,7.69602,11.5185,1.11871,1367.9,1222.74,0.6058,0.541514,0.657958667
FER_0,-18.06890345,-22.20376963,-20.53517726,5.42308,4.28927,5.14576,1.75101,456.914,260.943,0.4232,0.241689,0.498619201
FER_1,-18.27474412,-22.44788532,-20.7672034,5.39564,4.30956,5.16624,1.77228,470.287,265.357,0.418,0.235855,0.506139418
FER_2,-19.28709569,-23.67684133,-21.92235049,5.26057,4.13529,4.78592,1.83787,420.829,228.976,0.4076,0.221778,0.474123721
GIS_0,-17.50832817,-20.74187056,-19.50498895,4.5682,2.87958,4.5682,1.63598,0,0,0.456,0.278731,0.572100572
GIS_1,-15.63121633,-18.35093646,-17.14224985,4.4865,2.87952,4.4865,1.51154,0,0,0.4804,0.317821,0.698334868
GIS_2,-17.34539,-21.23474149,-19.3056462,4.45656,3.03787,4.45656,1.57593,0,0,0.4524,0.287068,0.60900567
GIS_3,-21.64588855,-27.21700353,-24.04726361,4.76437,3.32145,4.76437,1.54948,1237.27,798.505,0.5296,0.341792,0.43729224
GIS_4,-16.98058295,-20.75521582,-18.68959652,4.43464,3.1132,4.43464,1.58995,0,0,0.4672,0.293847,0.618245568
GIS_5,-15.50570498,-17.99191231,-17.09840358,4.64245,3.16109,4.64245,1.50217,0,0,0.4826,0.32127,0.624668836
GIS_6,-16.93994883,-20.35959471,-18.87213998,4.79225,2.88581,4.79225,1.57239,0,0,0.468,0.297637,0.581688461
GME_0,-15.03710369,-17.45997508,-16.84070037,7.11746,6.69656,7.11746,1.90159,955.471,502.459,0.5008,0.263359,0.618411961
GME_1,-14.54157511,-17.57755942,-16.077036,7.21157,6.58149,7.20989,1.45518,920.383,632.487,0.4998,0.343462,0.653962578
GON_0,-15.62681473,-19.0069928,-17.62240379,5.67216,4.87232,5.67216,1.88704,621.111,329.146,0.3762,0.19936,0.601656162
GON_1,-15.69926906,-19.09764231,-17.74147771,5.76588,5.10201,5.75146,1.92126,666.585,346.952,0.38,0.197787,0.590767406
GOO_0,-18.23277189,-23.05925571,-19.66300854,3.93929,2.59617,3.93715,1.89192,0,0,0.3916,0.206986,0.695591006
HEU_0,-18.12512881,-21.75064616,-20.46716926,5.22412,3.26915,5.21361,1.74799,0,0,0.4182,0.239246,0.485231405
HEU_1,-17.45658801,-20.99247968,-19.69604202,5.40545,3.32243,5.39126,1.68451,387.372,229.962,0.4286,0.254437,0.497711346
HEU_2,-17.73459155,-21.19832623,-20.00666741,5.29972,3.3398,5.29509,1.71135,797.477,465.992,0.424,0.247757,0.500239971
IFO_0,-11.88841911,-14.21997872,-13.28362744,7.42211,6.97938,7.41291,1.72379,1038.21,602.285,0.4366,0.253279,0.678182795
IFO_1,-14.45948451,-17.71293658,-16.03719273,7.6995,7.36283,7.6995,1.68738,1052.31,623.637,0.4874,0.288851,0.801915386
IFR_0,-14.87582824,-17.89392043,-16.77923294,6.56829,5.98202,6.38944,1.71149,1133.79,662.455,0.4358,0.254631,0.57141431
IFR_1,-14.92244819,-17.92026476,-16.81618115,6.59127,5.86814,6.5528,1.69899,1111.37,654.137,0.4412,0.259684,0.593160949
IFT,-9.77469011,-11.69964959,-10.85922277,10.03607,7.32849,10.03607,1.21921,1742.68,1429.35,0.5966,0.489332,0.710221113
IFU,-10.12412725,-11.93342995,-11.28688093,10.4563,6.44304,10.44916,1.22137,1623.34,1329.12,0.5994,0.490762,0.702491224
IFW,-13.3136702,-15.88495286,-14.92314967,7.21572,5.23361,7.18644,1.57582,1187.07,753.304,0.4762,0.302193,0.654179719
IFY,-16.64067484,-20.03578651,-18.40288345,6.39051,3.42514,6.39051,1.7608,930.678,528.554,0.4176,0.237165,0.664887959
IHW_0,-16.18689443,-19.99802663,-18.2589521,6.08485,3.27365,6.0707,1.84256,0,0,0.3926,0.213073,0.559992299
IHW_1,-16.47866211,-20.32524295,-18.5856023,6.04945,3.20909,6.04343,1.86267,0,0,0.388,0.208303,0.551427989
IMF_0,-16.26142476,-19.5753568,-18.43988489,6.69777,4.88684,6.31633,1.7444,1014.81,581.749,0.4196,0.240541,0.560471313
IMF_1,-16.53629131,-20.00864416,-18.73402441,6.7497,5.03652,6.23438,1.76713,1016.12,575.015,0.4204,0.2379,0.562184156
IRN,-15.3709409,-18.10436208,-17.26360724,8.62335,3.24418,8.6108,1.52847,0,0,0.5012,0.32791,0.653863732
IRR_0,-10.34795556,-12.57779941,-11.8584401,13.91522,11.71564,13.91522,1.71469,1556.73,907.883,0.6174,0.360066,0.690340362
IRR_1,-9.56998594,-11.40968538,-10.88395222,14.28514,12.1276,14.28514,1.0863,1528.54,1407.1,0.6222,0.572769,0.711599004
IRY,-9.02535741,-10.68322808,-10.03168978,10.69098,8.95477,10.65421,1.11515,1666.85,1494.73,0.6344,0.568894,0.724038243
ISV_0,-12.88686191,-15.73471515,-14.56293965,6.37088,5.78539,6.36648,1.50061,1456.82,970.823,0.5022,0.334664,0.62453776
ISV_1,-13.18655658,-16.11603922,-14.90546246,6.38654,5.69283,6.36353,1.53305,1474.43,961.76,0.4994,0.325755,0.612290034
ITE_0,-14.38032762,-17.21150824,-16.13334467,7.77939,3.81465,7.77181,1.56848,1130.33,720.653,0.4636,0.295573,0.637503104
ITE_1,-14.92118874,-17.9154146,-16.74128799,7.61624,3.45205,7.61624,1.6227,1094.37,674.411,0.4616,0.284464,0.647218022
ITG,-14.3767876,-17.70187901,-16.29990827,6.43907,5.89844,6.4186,1.65442,1123.28,678.957,0.4622,0.279374,0.623688943
ITH_0,-15.83975532,-19.45533853,-17.95272653,6.29582,4.67509,6.29582,1.73855,981.733,564.685,0.4348,0.250093,0.58203951
ITH_1,-16.72630402,-20.68246958,-18.84661752,6.07089,4.42806,5.77063,1.77578,990.117,557.568,0.4288,0.241472,0.610011862
ITR_0,-15.72740441,-19.33916301,-17.81920126,5.95862,4.72055,5.95862,1.73121,984.78,568.839,0.4362,0.251962,0.594781507
ITR_1,-16.12081624,-19.93518318,-18.22505109,6.07669,4.5312,6.07669,1.73388,1003.78,578.922,0.4302,0.248115,0.610039337
ITT_0,-12.98250852,-15.37991786,-15.22953319,12.77099,11.60257,12.77099,1.27966,1443.94,1128.38,0.5818,0.454652,0.66807318
ITV_0,-9.76609125,-11.64352504,-10.99852995,8.53889,6.5811,8.53119,1.07517,2067.58,1923.02,0.6348,0.590417,0.847674466
ITW_0,-17.66744466,-22.4557683,-19.06391485,4.1615,3.47799,4.1615,1.76836,719.913,407.109,0.4164,0.235473,0.847674466
ITW_1,-17.10855193,-22.96660154,-18.41251701,4.07851,3.31784,4.07637,1.8048,556.988,308.615,0.4088,0.226507,0.909746945
IWR_0,-13.84044046,-16.84793671,-15.61662359,6.9016,5.50682,6.89937,1.56058,1368.68,877.037,0.4738,0.303606,0.608459049
IWR_1,-13.81651918,-16.80811888,-15.57387203,7.05779,5.50032,7.05779,1.54181,1380.04,895.081,0.4762,0.308858,0.615905972
IWS_0,-12.36555891,-15.0512498,-13.98133884,7.63416,6.25829,7.63416,1.47579,1468.78,995.252,0.5266,0.356827,0.661303432
IWS_1,-11.78915967,-14.33282037,-13.27789855,8.03688,6.61551,8.03453,1.42822,1493.1,1045.43,0.5306,0.371512,0.659339814
IWV_0,-11.9271144,-13.87770185,-13.27884409,8.13768,6.63317,8.13768,1.49861,1308.19,872.933,0.5082,0.339114,0.69135116
IWV_1,-12.19903395,-14.48149923,-13.54979957,7.7539,5.89169,7.7539,1.56629,1252.2,799.471,0.4904,0.313097,0.69135116
IWW_0,-14.63354077,-17.95261998,-16.56171427,6.55466,5.84333,6.52551,1.65865,1143.81,689.603,0.4574,0.275766,0.581483064
IWW_1,-14.245769,-17.44825078,-16.11961585,6.29785,5.61549,6.26805,1.61021,1145.03,711.108,0.4618,0.286796,0.596384359
JBW_0,-17.57840803,-23.53484938,-17.68142005,3.85599,3.32384,3.63501,1.87375,210.092,112.124,0.3754,0.200347,1.166740934
JOZ_0,-17.52435359,-21.04527164,-19.44851302,4.42457,3.0963,4.42457,1.63277,0,0,0.4472,0.27389,0.58396966
JRY_0,-18.51322768,-24.45389276,-19.91068465,4.10173,3.72442,4.10173,1.84323,570.826,309.688,0.3856,0.209198,0.707995659
JSN_0,-19.11735567,-23.56597326,-21.44949952,4.53475,3.05523,4.52962,1.78306,0,0,0.427,0.239475,0.560854217
JSN_1,-23.06912385,-28.65740416,-25.67714559,4.96663,3.20989,4.95574,1.69865,0,0,0.487,0.286698,0.511244362
JSR_0,-11.69241575,-14.00155071,-13.06463214,7.43146,4.54246,7.43146,1.22554,2104.78,1717.44,0.6038,0.492683,0.682182826
JST_0,-15.37006933,-19.07128198,-17.18092661,4.94733,3.33236,4.94733,1.42752,1364.84,956.091,0.528,0.369871,0.722293599
KFI_0,-14.2197628,-17.51020654,-15.96615243,10.15744,3.63866,10.15744,1.49376,1161.14,777.327,0.5024,0.336331,0.637133172
KFI_1,-14.03980994,-17.20360937,-15.7764987,10.27143,3.61808,10.26803,1.47155,1163.92,790.949,0.5004,0.340049,0.633504459
