NAME,H2S_Heat,CO2_Heat,CH4_Heat,LCD,PLD,LFPD,Density,AVSA,AGSA,VF,PV,H2S_CH4
LAU_0,-17.38670688,-21.19561741,-19.74474524,5.47479,3.66761,5.44104,1.79554,882.979,491.762,0.4098,0.228232,0.497004597
LAU_1,-15.79166558,-19.28448661,-17.89591458,5.46587,3.88589,5.46587,1.72014,884.564,514.238,0.4164,0.242073,0.51346166
LAU_2,-16.57711798,-20.18932408,-18.79149866,5.37025,3.67197,5.37025,1.76641,752.492,426,0.401,0.227014,0.498949491
LEV_0,-16.17819932,-19.874191,-18.30419526,6.38923,3.13253,6.20078,1.58908,0,0,0.492,0.309613,0.572138251
LEV_1,-15.30714612,-18.80435698,-17.30200818,6.54054,3.27345,6.54052,1.51949,0,0,0.4974,0.327347,0.57891935
LEV_2,-16.19993082,-19.94485132,-18.34054482,6.39796,3.22246,6.39796,1.59563,0,0,0.4888,0.306337,0.548736254
LOV_0,-20.00690716,-21.39344174,-22.60260648,4.26995,3.37722,3.75391,1.67665,616.161,367.495,0.4402,0.262547,0.699893562
LTA_0,-17.36236882,-19.05504928,-20.59532282,10.23827,3.81365,10.23827,1.41416,1259.04,890.304,0.5242,0.370678,0.618333993
LTA_1,-13.8514228,-16.31497028,-16.2069432,10.67106,3.77334,10.64715,1.2734,1277.29,1003.05,0.5612,0.440709,0.618333993
LTA_2,-14.07408169,-16.74497337,-16.42656847,10.64131,3.65721,10.64131,1.28198,1261.61,984.112,0.5602,0.436981,0.618333993
LTF_0,-17.75875392,-21.48642659,-20.41199483,7.75627,7.09551,7.71704,1.78487,457.594,256.373,0.4422,0.247749,0.497617409
LTF_1,-16.95472708,-20.65601828,-19.45497864,7.60106,6.88958,7.60106,1.65111,451.552,273.483,0.4404,0.266729,0.519503223
LTL_0,-13.07680613,-15.36752164,-14.59976297,9.61198,7.09968,9.61198,1.81628,868.164,477.989,0.4532,0.24952,0.652300282
LTL_1,-12.67603664,-14.86193032,-14.14013229,9.54863,7.0475,9.54863,1.60161,908.889,567.484,0.4572,0.285462,0.655531602
LTL_2,-12.80968305,-15.01989229,-14.31540145,9.34476,6.80032,9.34476,1.62902,890.368,546.567,0.444,0.272557,0.639737157
MAZ_0,-17.7750893,-21.53849671,-20.52495003,7.68968,7.10074,7.55124,1.95638,517.975,264.762,0.4528,0.231448,0.541207925
MAZ_1,-16.63144275,-20.28292112,-19.16762999,7.74295,7.04249,7.74295,1.60357,504.525,314.626,0.4588,0.286112,0.55739153
MEI_0,-13.49197146,-15.66032457,-15.12559257,7.66225,6.47433,7.66225,1.67031,1417.5,848.642,0.5202,0.311439,0.619179685
MEI_1,-13.1707838,-15.52185021,-14.69286841,7.84768,6.53397,7.84768,1.4239,1445.09,1014.88,0.5296,0.371935,0.614811774
MEL_0,-16.01478122,-19.19323835,-18.14274617,6.87178,4.78426,6.854,1.73204,1025.37,591.997,0.4208,0.24295,0.562931681
MEL_1,-16.91503061,-20.38584787,-19.17040734,6.30808,4.42951,6.30808,1.77359,992.337,559.508,0.4076,0.229816,0.528705775
MEL_2,-16.72465187,-20.10516424,-18.95597086,6.63953,4.77634,6.63953,1.77589,1014.78,571.42,0.411,0.231433,0.523765916
MER_0,-17.36819874,-19.641123,-19.2473092,6.24773,3.80047,6.24773,1.63365,715.938,438.243,0.4646,0.284393,0.613583367
MER_1,-16.05028044,-18.5776574,-17.42003097,5.75786,3.13459,5.75786,1.59817,0,0,0.468,0.292835,0.695227336
MER_2,-16.25171665,-20.06476044,-18.5804825,5.65941,3.25057,3.41826,1.71616,0,0,0.4246,0.247412,0.571365945
MFI_0,-17.05889017,-20.86717987,-19.09808877,5.94159,4.29903,5.93816,1.83795,923.512,502.467,0.4,0.217633,0.571013155
MFI_1,-17.2727813,-20.87525102,-19.57126377,6.18235,4.75402,6.17842,1.79633,983.281,547.382,0.4216,0.2347,0.549935137
MFI_2,-16.99551552,-20.48188765,-19.21303528,6.22275,4.64909,6.21525,1.79254,987.454,550.87,0.4164,0.232296,0.548801394
MFS_0,-15.65011432,-18.83888384,-17.66374881,6.22239,4.94279,6.22239,1.74039,813.52,467.435,0.4254,0.244428,0.594164595
MFS_1,-16.38218179,-19.78464498,-18.4956965,6.10781,4.76957,6.10781,1.81258,792.831,437.404,0.4156,0.229286,0.585018851
MON_0,-16.0042037,-21.32341319,-15.73017548,3.76288,3.13631,3.76288,1.76076,0,0,0.4222,0.239783,1.478078659
MOR_0,-18.20061668,-17.24745125,-20.48144417,6.19601,6.03797,6.19601,1.69388,906.417,535.112,0.4374,0.258223,0.574777586
MOR_1,-18.2573258,-17.13168876,-20.5532449,6.25963,6.10733,6.25963,1.70057,693.723,407.936,0.4408,0.259208,0.549256786
MOZ_0,-15.51184611,-18.88776088,-17.664858,9.63325,7.13809,9.63325,1.74259,590.78,339.025,0.4398,0.252383,0.561694021
MOZ_1,-15.02594874,-18.26696287,-17.0495328,9.29953,6.7474,9.29953,1.68038,961.811,572.378,0.4368,0.259942,0.599565993
MRE_0,-17.29172342,-21.18867288,-19.67061495,5.74417,5.19127,5.72958,1.9607,539.204,275.006,0.3532,0.18014,0.464227463
MRE_1,-18.02783821,-22.07106191,-20.52436644,5.48758,4.89488,5.48758,1.98793,503.229,253.143,0.3452,0.173648,0.456457905
MRT,-17.64807473,-21.70851088,-19.97992393,5.40545,3.31723,4.86873,1.71014,616.868,360.713,0.4238,0.247817,0.552374212
MSE_0,-14.04198082,-17.20656081,-15.8937659,6.50057,6.01025,6.48726,1.63279,1238.08,758.262,0.4654,0.285033,0.595713942
MSE_1,-14.09221835,-17.16807708,-15.94854264,6.48882,6.02589,6.47365,1.65373,1220.31,737.91,0.4558,0.275619,0.589921534
MTF_0,-17.86379444,-21.97308665,-20.14271642,5.59384,3.63125,5.582,2.06932,520.094,251.336,0.3138,0.151644,0.598365069
MTF_1,-18.3047104,-22.51121206,-20.67876649,5.55214,3.23186,5.53981,2.05846,0,0,0.328,0.159342,0.522129725
MTT_0,-16.31676485,-20.13748141,-18.44369005,5.54495,4.55815,5.48231,1.8165,694.374,382.26,0.3926,0.21613,0.525787718
MTT_1,-18.04745325,-22.25681079,-20.4468241,5.29179,4.39042,5.2179,1.98979,586.511,294.761,0.3616,0.181728,0.478967365
MTW_0,-15.07763803,-18.31818613,-16.95464355,5.31344,5.09838,5.30833,1.81904,747.84,411.118,0.401,0.220446,0.623510315
MTW_1,-15.88639194,-19.45417731,-18.00237252,5.48871,5.11897,5.43691,1.93468,708.555,366.239,0.373,0.192797,0.564088087
MWF,-16.82444971,-20.02248343,-18.65130988,10.06374,3.67434,10.06374,1.60382,192.345,119.93,0.4752,0.296294,0.657967964
MWW_0,-15.54483224,-18.90146565,-17.60292994,9.28791,4.1715,5.72794,2.08436,1267.31,608.008,0.4806,0.230575,0.606188236
MWW_1,-16.51099881,-20.01565772,-18.70787812,9.05194,3.92303,9.05194,1.64723,1197.78,727.147,0.4706,0.285692,0.613590506
NAT_0,-17.00192639,-22.73519908,-17.9941075,3.94936,3.84735,3.94707,1.62033,768.448,474.254,0.46,0.283893,0.801051966
NES_0,-14.2068905,-17.21727369,-15.94324065,6.17238,4.66096,6.16948,1.64052,1133.84,691.145,0.4612,0.28113,0.623376543
NES_1,-15.14312418,-18.5813522,-17.04951195,5.68679,4.44825,5.68679,1.76881,1081.64,611.505,0.4304,0.243327,0.623376543
NPT_0,-14.27576516,-16.83251862,-16.31737321,9.89043,3.17958,5.75582,1.34233,0,0,0.5546,0.413161,0.57730736
OBW_0,-13.45074853,-15.5013614,-15.42195616,8.8607,4.78303,8.8607,1.26983,1273.1,1002.57,0.5822,0.458485,0.616111729
OFF_0,-16.70487591,-20.10388012,-19.1923245,6.49859,6.05037,6.49312,1.74899,794.831,454.452,0.4726,0.270213,0.511941728
OFF_1,-15.85440585,-19.21700952,-18.20177824,6.7635,6.1516,6.7635,1.54828,1193.26,770.7,0.4778,0.3086,0.545722384
OFF_2,-15.69168235,-18.9859367,-18.00276351,6.76055,6.17755,6.76055,1.53678,805.486,524.14,0.4808,0.312863,0.54263
OKO_0,-14.88997539,-18.1064684,-16.87802402,6.30331,5.5041,6.30331,1.74651,1132.53,648.451,0.4342,0.24861,0.577538673
OKO_1,-14.94090983,-18.19642636,-16.95328031,6.44274,5.49504,6.44274,1.75956,1094.52,622.045,0.4306,0.244721,0.599228784
OSI_0,-14.12431774,-17.10071938,-15.87831509,6.26238,5.88168,6.26238,1.76965,690.402,390.135,0.4128,0.233267,0.63775557
OSI_1,-19.05853749,-23.82845717,-21.37790739,6.13218,5.20215,6.13218,1.90685,679.886,356.549,0.4196,0.220049,0.685684753
OSO_0,-12.72466987,-15.38188883,-14.20027474,5.674,5.46744,5.674,1.74306,1607.49,922.224,0.5656,0.324488,0.670813646
OSO_1,-12.7373139,-15.40810919,-14.22105292,5.64674,5.39518,5.64674,1.33468,1613.49,1208.89,0.567,0.424821,0.683794616
OWE_0,-17.99730096,-21.98103527,-20.38267808,5.21524,3.38543,5.18342,1.70908,872.414,510.459,0.4432,0.259321,0.483043022
PAU_0,-16.55334169,-19.50681196,-18.2323159,10.08159,3.66104,10.08159,1.58569,310.749,195.971,0.4682,0.295266,0.670005205
PAU_1,-15.92191448,-18.89526297,-17.69104492,10.17234,3.50266,10.17234,1.55137,309.701,199.631,0.4686,0.302055,0.649454331
PCR_0,-18.98028234,-22.96907419,-21.51060157,5.60181,3.79966,4.73354,1.87081,357.92,191.318,0.3788,0.202479,0.506420866
PCR_1,-18.98775486,-23.06045368,-21.50462538,5.10968,3.60998,4.79853,1.90203,358.796,188.638,0.3776,0.198524,0.544020797
PHI_0,-17.13919756,-21.13104816,-19.26047515,5.00169,3.2511,4.844,1.63418,0,0,0.458,0.280263,0.582897676
PHI_1,-16.91303242,-19.49632343,-18.79929,5.0402,3.01347,5.03866,1.57844,0,0,0.4514,0.285979,0.633621268
PHI_2,-16.66257471,-20.54393646,-18.84127308,5.03457,3.11734,5.0053,1.60124,0,0,0.4466,0.278908,0.547459529
PON_0,-18.10821629,-22.82707572,-20.10354186,4.50165,3.89517,4.50165,1.81326,630.926,347.952,0.4016,0.22148,0.572562055
PON_1,-24.08962086,-31.81911011,-26.19012445,4.30929,3.65508,4.26395,1.87577,593.568,316.439,0.4234,0.22572,0.641851716
POR,-18.06779823,-22.2484168,-20.46543443,5.39281,3.35532,5.03522,1.7527,829.919,473.51,0.4196,0.239403,0.487826393
POS,-14.16975562,-17.25904032,-16.15908823,6.71368,6.13546,6.7134,1.55053,1412.78,911.16,0.4898,0.315892,0.607232562
PSI,-17.76780296,-21.73009634,-20.16738478,5.34631,4.42676,5.34631,2.05209,342.08,166.699,0.3218,0.156816,0.537474449
PUN_0,-15.34203293,-18.9933806,-17.23243205,4.98735,3.95386,4.98129,1.49331,1469.34,983.946,0.5032,0.336969,0.570232287
PWN,-16.20507842,-18.57295424,-17.75913708,10.07381,3.6503,10.07381,1.55716,561.534,360.614,0.4902,0.314804,0
PWO,-16.62045693,-20.84237183,-18.47209445,4.74576,3.91158,4.74576,1.71234,1160.5,677.727,0.4284,0.250184,0.656655584
PWW,-16.72262801,-20.74030366,-18.70088255,4.72419,4.4075,4.63288,1.70032,1055.79,620.94,0.4376,0.257364,0.577131371
RHO_0,-15.93397549,-15.61987895,-17.24124194,10.03077,3.66161,9.10829,1.44221,1308.45,907.253,0.5224,0.362221,0.654508034
RHO_1,-12.68143006,-14.21372951,-13.62036215,9.99801,3.29406,9.99801,1.41022,0,0,0.5132,0.363916,0.736413799
RON_0,-15.70862441,-18.98862373,-17.6222838,5.35931,4.28911,5.15278,1.89317,611.395,322.948,0.3446,0.182022,0.642479539
RRO_0,-15.4943299,-21.46641575,-15.919228,3.86868,3.52279,3.86868,1.78217,315.127,176.822,0.4174,0.234209,1.108860711
RSN_0,-19.25471598,-21.13166067,-21.93959654,4.26429,3.37038,3.74508,1.67673,526.047,313.734,0.4472,0.26671,0.809977011
RTE_0,-16.58881652,-20.41343114,-18.70802301,6.42419,3.57981,6.42237,1.71211,876.531,511.959,0.4324,0.252554,0.564266432
RTE_1,-16.9306658,-20.83237126,-19.10680517,6.27916,3.42052,6.2729,1.72728,895.72,518.574,0.4434,0.256705,0.581632391
RTH_0,-14.5571598,-17.57963425,-16.30572288,7.63706,3.73943,7.63706,1.60531,1113.12,693.399,0.4716,0.293776,0.713578665
RTH_1,-15.16245912,-18.30568351,-16.99027006,7.49467,3.48919,6.95574,1.65414,1091.57,659.901,0.4656,0.281476,0.691075298
RWY_0,-8.59075412,-10.05100977,-9.49230852,14.00449,5.89361,14.00449,0.854621,1973.78,2309.54,0.721,0.843649,0.718788801
SAF_0,-13.9940356,-16.80762162,-15.77372437,6.24034,5.73442,6.24034,1.89556,698.04,368.25,0.382,0.201524,0.622495359
SAF_1,-18.51045183,-22.6339289,-20.70206833,6.2853,5.33445,6.2853,1.91818,717.213,373.903,0.4294,0.223858,0.594350062
SAO_0,-11.78980235,-14.25559827,-13.22496746,8.22178,6.29826,8.22178,1.41518,1591.86,1124.84,0.535,0.378044,0.668975173
SAO_1,-14.86126971,-18.38428076,-16.55786895,7.98049,6.20165,7.98049,1.4119,1615.33,1144.08,0.5914,0.418868,0.764411587
SAS_0,-13.5777835,-16.5256902,-15.20487975,8.54766,3.81888,8.54766,1.4913,1172.75,786.393,0.5008,0.335815,0.673196194
SAS_1,-17.22996227,-21.50756644,-19.16382858,8.51621,3.87112,8.51621,1.51536,1221.46,806.049,0.5386,0.355427,0.750403775
SAT_0,-15.63121299,-18.99960739,-17.7152943,6.18035,2.84665,6.17585,2.29159,0,0,0.4638,0.202392,0.500710179
SAT_1,-20.52599712,-25.42729528,-23.09622674,6.17692,2.70831,6.17692,1.68004,0,0,0.5024,0.29904,0.490361211
SAV_0,-13.91851452,-16.88479566,-15.60286493,8.28251,3.70256,8.25282,1.45792,1301.54,892.735,0.5106,0.350225,0.649041568
SBE_0,-14.23898293,-13.84130569,-16.52448473,12.09716,6.83474,10.92223,1.37014,1308.05,954.679,0.5402,0.394266,0.675261218
SBS_0,-11.0791816,-13.18232962,-12.39849622,10.9769,6.86668,10.91283,1.45998,1425.25,976.212,0.543,0.371923,0.687065398
SBT_0,-11.06562982,-13.17964644,-12.38601852,10.39671,6.94394,10.39671,1.45923,1429.67,979.74,0.5492,0.376362,0.687472431
SEW_0,-15.39291986,-18.00904417,-17.40151444,6.24454,4.77522,6.24012,1.69798,1225.3,721.627,0.4454,0.262312,0.577277143
SEW_1,-15.7969832,-18.54602249,-17.84438739,6.23657,4.88507,6.23657,1.67607,1175.1,701.106,0.4548,0.271349,0.597939832
SFE_0,-13.33780934,-15.96411064,-14.92851206,6.23954,5.81325,6.23954,1.68867,972.953,576.165,0.44,0.26056,0.646226035
SFE_1,-14.74827778,-17.78412452,-16.57198653,5.73778,5.34449,5.73778,1.86406,857.657,460.1,0.3998,0.214478,0.605185037
SFF_0,-14.88766543,-18.08013179,-16.75052624,7.09171,4.9381,7.03833,1.7805,1023.4,574.783,0.4228,0.237462,0.660920445
SFF_1,-14.88200279,-17.8987977,-16.6885895,7.2874,5.06589,7.06533,1.72027,1073.17,623.839,0.4432,0.257635,0.684619307
SFG_0,-15.1498053,-18.26387361,-17.13252472,6.36031,4.9824,6.36031,1.75997,849.088,482.446,0.411,0.233527,0.577947195
SFG_1,-15.99903981,-19.37989956,-18.10867266,6.18252,4.89752,6.18252,1.82937,847.167,463.093,0.4068,0.222372,0.573697091
SFH_0,-12.04761933,-14.38193356,-13.4547082,7.66237,6.36742,7.65181,1.64543,964.212,585.995,0.4312,0.26206,0.66384775
SFH_1,-12.95590556,-15.50127362,-14.52202295,7.30131,6.3094,7.30094,1.78136,918.633,515.692,0.4306,0.241725,0.64904903
SFN_0,-12.10802755,-14.45320778,-13.51805214,7.47088,6.29921,7.41494,1.65159,982.479,594.87,0.4526,0.27404,0.690215135
SFN_1,-12.81914437,-15.34061052,-14.37118286,7.22953,6.03175,7.22953,1.77746,920.436,517.838,0.4268,0.240118,0.666548302
SFO_0,-13.29328979,-15.41694784,-14.71931375,7.48533,6.54891,7.48533,1.5133,1228.82,812.009,0.4994,0.330006,0.690433795
SFS_0,-15.01556688,-17.78048544,-16.97703334,7.0496,5.47792,7.03274,1.65916,1205.76,726.728,0.4478,0.269895,0.607866912
SFS_1,-15.87883036,-18.93739868,-18.0838889,7.00633,5.17236,6.88606,1.70024,1169.95,688.107,0.4414,0.259611,0.59407181
SFW_0,-14.66458915,-17.26184364,-16.40034444,7.13905,3.25315,6.79098,1.50543,0,0,0.503,0.334124,0.638444356
SFW_1,-14.43506032,-16.90716765,-16.07497914,7.0999,3.38284,6.6478,1.49567,1048.41,700.963,0.5012,0.335102,0.642150154
SIV_0,-17.34170545,-20.99014066,-19.3787381,4.98328,3.29366,4.98328,1.63279,0,0,0.4748,0.290791,0.578225038
SOF_0,-16.79571607,-20.54234289,-18.40415411,4.73798,3.81854,4.73798,1.63846,1219.14,744.075,0.4648,0.283681,0.669118902
SOR,-13.92022196,-16.44867976,-15.68910907,6.42351,5.95946,6.40046,1.70363,933.564,547.985,0.4354,0.255572,0.590522897
SOS_0,-14.85268132,-18.55441501,-16.49329537,4.38679,3.82561,4.37416,1.6929,653.311,385.912,0.4594,0.271368,0.754171939
SOV,-13.72080255,-16.74712352,-15.6611194,6.54197,5.89888,6.53138,1.52864,1441.46,942.969,0.4908,0.32107,0.607669095
SSF_0,-12.72203058,-15.2758795,-14.29259514,7.25883,5.76247,7.23856,1.73915,1021.82,587.538,0.451,0.259322,0.646513905
SSF_1,-13.72878381,-16.55861546,-15.48686895,6.92795,5.42115,6.92795,1.74705,1005.73,575.676,0.429,0.245557,0.627386151
SSY_0,-13.24776424,-15.91244161,-14.81968076,6.93735,5.53509,6.65337,1.68355,949.079,563.736,0.4316,0.256363,0.654491418
SSY_1,-14.58556631,-17.62483099,-16.41754193,6.44354,5.1556,6.4235,1.85372,882.714,476.186,0.4002,0.215891,0.625959437
STF_0,-14.72045353,-17.59650174,-16.48576138,7.21986,5.03574,7.21986,1.6837,1085.01,644.418,0.444,0.263705,0.670701913
STF_1,-14.85950783,-17.88430025,-16.68073791,7.11052,5.06355,7.08697,1.72348,1119.35,649.47,0.4328,0.25112,0.687907022
STI_0,-15.93547327,-19.70904615,-18.01163938,5.82266,4.54185,5.81726,1.66572,1155.35,693.602,0.465,0.279158,0.547659755
STI_1,-15.55467136,-19.20248702,-17.58548684,5.66594,4.15229,5.66594,1.61565,1102.7,682.515,0.4588,0.283973,0.536109869
STI_2,-15.52895849,-19.15914534,-17.54283086,5.75405,4.54327,5.75405,1.62287,1126.34,694.045,0.4498,0.277164,0.528195325
STI_3,-15.52619339,-19.1600941,-17.54504038,5.73882,4.87091,5.73882,1.62149,1116,688.254,0.4586,0.282825,0.537937991
STO_0,-14.53209476,-17.54971888,-16.3897097,6.3995,5.60609,6.30686,1.86599,737.793,395.391,0.3838,0.205682,0.623686185
STO_1,-14.52674166,-17.54854926,-16.39098397,6.39669,5.60749,6.3085,1.866,741.416,397.328,0.3838,0.20568,0.614709741
STT_0,-15.50357949,-18.6560089,-17.44501254,6.56577,3.67399,6.56577,1.69239,1077.63,636.751,0.4312,0.254787,0.619111435
STT_1,-15.72801264,-19.02915751,-17.6944275,6.71141,3.51299,6.70816,1.69901,1050.01,618.01,0.4344,0.255678,0.609055399
STW_0,-16.50422705,-20.33402026,-18.38437428,4.90862,4.47824,4.8969,1.76592,1270.34,719.365,0.451,0.255391,0.631530381
SVR_0,-16.61016878,-20.25809537,-18.78719555,5.34096,4.58964,5.34096,1.54654,991.822,641.318,0.4358,0.281791,0.531476843
SVR_1,-16.61260706,-20.25996592,-18.77339384,5.47023,4.66194,5.25032,1.74495,996.485,571.067,0.4134,0.236912,0.546728516
SWY,-16.03491007,-19.40174654,-18.32782809,6.50646,3.03092,6.50228,1.60407,0,0,0.475,0.296121,0.53361956
SZR_0,-16.61559632,-20.41729341,-18.730103,5.59362,4.29163,5.41789,1.66767,727.029,435.954,0.4216,0.252807,0.610392204
SZR_1,-16.61559632,-20.41729341,-18.730103,5.47228,4.21874,5.13085,1.8004,702.46,390.168,0.3988,0.221506,0.636097186
TER_0,-16.16589202,-19.57572903,-18.169176,6.18221,4.69054,6.17894,1.7004,1100.06,646.944,0.4244,0.249589,0.568073464
TER_1,-16.19734538,-19.63894255,-18.17975784,6.26216,4.59505,6.26216,1.70879,1089.09,637.346,0.4234,0.247778,0.597041364
THO_0,-17.72429889,-21.7727322,-19.81909439,4.47856,3.28935,4.47221,1.57063,0,0,0.4868,0.30994,0.534224813
TON_0,-16.62842044,-20.27411439,-18.79229037,5.04731,4.64972,5.03716,1.81029,687.986,380.043,0.396,0.21875,0.580134288
TON_1,-18.25320782,-22.48172152,-20.57115444,4.77216,4.48228,4.77216,1.96871,598.755,304.136,0.3524,0.179001,0.541206341
TSC_0,-16.67751391,-15.49122026,-20.51937817,15.87086,3.68135,15.87086,1.31869,1174.84,890.916,0.5712,0.433157,0.669393921
TSC_1,-10.83425733,-11.06884132,-12.42687119,16.64101,3.86437,16.64101,1.1896,1210.83,1017.85,0.6038,0.507567,0.682108027
TUN_0,-16.08787275,-19.45259598,-18.22508272,8.04241,4.9923,8.03129,1.75678,1036.27,589.868,0.4198,0.23896,0.583582933
TUN_1,-16.13377181,-19.54836155,-18.34415101,8.02978,5.11865,7.74994,1.74099,1046.21,600.925,0.4328,0.248594,0.583582933
UEI_0,-18.81205793,-20.50632471,-20.88885668,5.11766,3.36371,4.87133,1.74209,478.63,274.745,0.421,0.241664,0.532029094
UFI_0,-18.14821289,-21.09966511,-21.20796497,9.69004,3.49453,9.69004,1.51674,1199.69,790.961,0.507,0.334269,0.563064248
UFI_1,-18.23750337,-21.04596387,-21.08590269,9.45921,3.32036,9.45921,1.53513,946.019,616.245,0.5078,0.330786,0.566429618
UOS_0,-17.1145194,-20.89750009,-19.2733906,5.31802,3.75117,5.31802,1.75804,839.43,477.481,0.4284,0.243681,0.60934181
UOV,-14.14416545,-17.21955386,-15.99439218,6.57756,5.78407,6.20669,1.61983,1273.56,786.233,0.4672,0.288425,0.587141233
USI_0,-13.8700772,-16.72671841,-15.41975985,6.3201,5.84374,6.3201,1.58713,1434.46,903.805,0.4774,0.300795,0.636625904
UTL_0,-12.74936464,-14.98575716,-14.47425659,8.69896,7.12008,8.69896,1.55628,1333.23,856.678,0.4944,0.31768,0.672737477
UWY_0,-15.77971272,-19.10706766,-17.81693649,8.37969,5.63563,8.37969,1.6267,1226.87,754.21,0.4652,0.285978,0.606423401
VET_0,-14.99274771,-18.41138603,-16.99120683,5.98719,5.57612,5.98719,2.01344,630.759,313.274,0.3302,0.163998,0.516274624
VET_1,-15.25206253,-18.69351228,-17.24154364,6.03023,5.59462,6.03023,1.97996,643.913,325.216,0.3392,0.171317,0.558416705
VFI_0,-9.36634659,-10.84559131,-10.33954143,11.40675,10.99327,11.19153,1.57263,1072.05,681.692,0.5294,0.336634,0.725669979
VFI_1,-11.98454857,-14.63513271,-13.16955908,11.1899,10.64961,11.1899,1.4424,1108.74,768.678,0.5592,0.387687,0.776048411
VNI_0,-18.09058605,-21.41680973,-19.96289633,4.40384,2.60943,4.40384,1.75271,0,0,0.4164,0.237575,0.775552186
VSV_0,-15.41115981,-20.79658332,-15.73631051,3.74729,3.37111,3.65169,1.67632,457.226,272.756,0.4458,0.265939,1.16292278
WEI_0,-14.04566737,-18.76561993,-13.44465617,3.79248,3.03437,3.79248,1.6467,0,0,0.4628,0.281047,1.498909468
WEN_0,-16.92261688,-20.73503642,-19.07078548,4.97345,3.62364,4.97092,1.78404,928.86,520.649,0.4516,0.253133,0.553762561
YFI,-16.6466552,-16.52567382,-18.50489161,7.36253,5.55241,7.35944,1.63616,944.057,576.995,0.4526,0.276623,0.593799855
YUG_0,-17.81733693,-23.55530292,-18.8428131,4.01634,2.69941,4.01634,1.79096,0,0,0.4038,0.225465,0.81141173
ZON_0,-19.17417983,-23.32741637,-21.76374613,5.21292,3.11896,5.19981,1.80065,0,0,0.4038,0.224252,0.409574468
ZON_1,-22.88379072,-28.67529498,-25.73794594,5.55332,3.10998,5.54597,1.71628,0,0,0.4732,0.275712,0.399430235
